,productId,userId,score,summary,review,movie_title
111469,B002LBKDYE, A1D3RZRRITKB75,5.0, If you eat you need to watch it.,Seriously ----watch this before you take that next bite.<br />Do you really want to have what you will see in this video in your next meal? In your body? Especially in your childs body?<br />Learn why you may want to fear your food.,"Food, Inc"
111470,B002LBKDYE, A24Y3JBTJD5R1K,5.0, For those who eat food!,"I don't know that my eating habits changed, but I defiantly became more informed about the food industry.<br /><br />A must-see video for this generation!","Food, Inc"
111471,B002LBKDYE, ABND7UR0H37JW,5.0," if you're a parent, don't miss this","Well worth the time, this engrossing and enlightening film opened up my eyes to the importance of my family's food choices on several levels.","Food, Inc"
111472,B002LBKDYE, A3EK4NS9CMXC7W,5.0," I'm not an activist, but I do want to live a long healthy life","When movies like this come out I am often hesitant to watch. I am not an activist and I do like to eat meat. I do believe that animals can be humanely slaughtered and brought to market which often times some cultures say is not possible. This movie was not preachy, but informative. By starting small, making minor changes we can eat healthier and help our children live healthier. It only takes the desire to feed our families well to impact the entire food culture. Definitely a must see movie.","Food, Inc"
111473,B002LBKDYE, A1LIDERT7U0NN8,5.0, Well Worth Your Time,"I am always hesitant to watch certain documentaries because many of them mimic productions by Al Gore and Michael Moore which are not documentaries at all, just a film makers' own viewpoint.Film makers like Gore and Moore believe their audiences aren't smart enough to figure out the issue, so they resort to pandering and preaching. They overlook contrasting viewpoints and only present what they believe to be the facts. Their documentaries work on an emotional instead of a rational level and should be treated as short, bizarre films only. Documentaries by nature should be informative, innovative, and as balanced as can be. This simple formula eliminates many of these baised and unbalanced films and simply aren't worht the time. They are only viewed by people who already support that viewpoint.<br /><br />So, it was with much trepidation that I followed the advice of a fellow professor and watched Food Inc. I thought it would be as poorly made as those I usually avoid. I couldn't have been more wrong. Food Inc. is a fascinating film that chronicles how food is grown, harvested, packaged, and sold in America. While it does have some graphic scenes of animal processing plants, it's goal is not to shock or disgust. It's to provide a context for the rest of the film. It is well balanced and well presented. The film maker allowed the facts to be presented so that reasonable discussion can follow. The film presents what's going wrong as well as what's going right.<br /><br />A documentary should make the viewer think. This film delivers.","Food, Inc"
111474,B002LBKDYE, A2WOL56UKTBOES,5.0, Surprisingly level documentary,"An important work--it really opened my eyes to the business of food. Not heavy handed, it brings facts and for the most part allows viewers to draw their own conclusions. Particularly interesting was the level to which big (food) business individuals wind up in government, making key policy decisions that affect us all. I left determined to be deliberate about the food choices I make for myself and my family.","Food, Inc"
111475,B002LBKDYE, A15UQM9K3TBIQV,5.0, pk,Had a good cry after watching this film.  Makes you wonder what the hell went wrong....  I have a 2 year old grandson that I worry so much about in regards to our ever changing diets.  I hope if you get the opportunity to watch this film that you will.  I for one will be filling my cart with more organic foods even if that means i have to shop at small co-ops.  I will buy from local farmers.  I really appreciate that Wal-Mart has made a change for what people are requesting....  I really appreciate everyone that worked on this film... Thanks for the change I know it will make in the lives of my family... :),"Food, Inc"
111476,B002LBKDYE, A1ZEIAKVV6PRAY,5.0, Great documentary.,"As I watched this movie, I was expecting another PETA style film. In actuality. The film shows you whats going on in our worlds food manufacturing companies and lets you make your own decision. I have since made life changes to eat free range and local meats and as much organic food and locally grown food as I can afford to.","Food, Inc"
111477,B002LBKDYE, A3LITH618MC175,5.0," eye-opening, engaging and well-made",This movie is certainly one of the best documentaries I have seen in years. Food Inc makes me wonder what the United States is REALLY doing about food and everything else; it is really a shame that more people have not watched this movie. America was founded by people who were well-informed about the day's issues. Can we now say the same?,"Food, Inc"
111478,B002LBKDYE, ACPEZ2AKRWSGY,5.0, Worth your time,"I moved from the UK to the US recently, I just couldn't get over how cheap fast food was here. Watch this to understand why. We're all a little bit aware this stuff, but it's still a shock to see it all at once. The film is superbly made, honest, straightforward - not a conspiracy theory. Very much worth your time.","Food, Inc"
